Date,Branch,Delivery Channel Sales
2026-01-19,B004,235.9
2026-01-19,B005,112.43
2026-01-19,B007,124.6
2026-01-20,B001,212.89
2026-01-20,B002,129.45
2026-01-20,B004,186.39
2026-01-20,B005,105.85
2026-01-20,B007,124.94
2026-01-21,B001,201.29
2026-01-21,B002,110.6
2026-01-21,B004,223.33
2026-01-21,B005,111.26
2026-01-21,B007,108.27
2026-01-22,B001,259.82
2026-01-22,B002,106.53
2026-01-22,B004,249.84
2026-01-22,B005,104.27
2026-01-22,B007,130.27
2026-01-23,B001,167.22
2026-01-23,B002,117.13
2026-01-23,B004,218.18
2026-01-23,B005,88.15
2026-01-23,B007,104.22
2026-01-24,B001,242.62
2026-01-24,B002,105.56
2026-01-24,B004,240.04
2026-01-24,B005,99.56
2026-01-24,B007,132.73
2026-01-25,B001,182.65
2026-01-25,B002,108.26
2026-01-25,B004,220.05
2026-01-25,B005,122.88
2026-01-25,B007,126.81
2026-01-26,B001,240.63
2026-01-26,B002,111.69
2026-01-26,B004,195.48
2026-01-26,B005,115.07
2026-01-26,B007,109.36
2026-01-27,B001,225.03
2026-01-27,B002,114.72
2026-01-27,B004,231.07
2026-01-27,B005,104.52
2026-01-27,B007,130.93
2026-01-28,B001,219.91
2026-01-28,B002,117.78
2026-01-28,B004,258.51
2026-01-28,B005,96.68
2026-01-28,B007,145.95
2026-01-29,B001,217.37
2026-01-29,B002,101.68
2026-01-29,B004,265.18
2026-01-29,B005,99.47
2026-01-29,B007,148.74
2026-01-30,B001,171.75
2026-01-30,B002,121.0
2026-01-30,B004,187.39
2026-01-30,B005,106.08
2026-01-30,B007,127.32
2026-01-31,B001,260.23
2026-01-31,B002,139.05
2026-01-31,B004,240.11
2026-01-31,B005,94.63
2026-01-31,B007,132.73
2026-02-01,B001,200.92
2026-02-01,B002,133.04
2026-02-01,B004,217.0
2026-02-01,B005,87.16
2026-02-01,B007,109.23
2026-02-02,B001,253.28
2026-02-02,B002,120.7
2026-02-02,B004,187.68
2026-02-02,B005,114.65
2026-02-02,B007,135.39
2026-02-03,B001,176.76
2026-02-03,B002,135.95
2026-02-03,B004,202.24
2026-02-03,B005,111.25
2026-02-03,B007,111.58
2026-02-04,B001,197.47
2026-02-04,B002,120.7
2026-02-04,B004,217.34
2026-02-04,B005,122.63
2026-02-04,B007,122.35
2026-02-05,B001,195.1
2026-02-05,B002,162.3
2026-02-05,B004,243.1
2026-02-05,B005,98.4
2026-02-05,B007,111.28
2026-02-06,B001,193.36
2026-02-06,B002,97.59
2026-02-06,B004,205.95
2026-02-06,B005,77.64
2026-02-06,B007,118.81
2026-02-07,B001,246.29
2026-02-07,B002,154.36
2026-02-07,B004,207.97
2026-02-07,B005,102.57
2026-02-07,B007,147.53
2026-02-08,B001,231.6
2026-02-08,B002,139.61
2026-02-08,B004,239.71
2026-02-08,B005,125.77
2026-02-08,B007,153.94
2026-02-09,B001,268.45
2026-02-09,B002,142.33
2026-02-09,B004,204.88
2026-02-09,B005,99.44
2026-02-09,B007,124.92
2026-02-10,B001,235.09
2026-02-10,B002,118.75
2026-02-10,B004,282.8
2026-02-10,B005,99.36
2026-02-10,B007,114.22
2026-02-11,B001,203.42
2026-02-11,B002,135.26
2026-02-11,B004,273.73
2026-02-11,B005,103.06
2026-02-11,B007,114.22
2026-02-12,B001,237.65
2026-02-12,B002,135.07
2026-02-12,B004,230.14
2026-02-12,B005,106.57
2026-02-12,B007,151.89
2026-02-13,B001,155.25
2026-02-13,B002,130.76
2026-02-13,B004,171.13
2026-02-13,B005,108.88
2026-02-13,B007,110.91
2026-02-14,B001,220.71
2026-02-14,B002,160.35
2026-02-14,B004,276.76
2026-02-14,B005,114.24
2026-02-14,B007,150.16
2026-02-15,B001,236.16
2026-02-15,B002,124.21
2026-02-15,B004,247.3
2026-02-15,B005,98.88
2026-02-15,B007,135.5
2026-02-16,B001,227.55
2026-02-16,B002,122.91
2026-02-16,B004,236.22
2026-02-16,B005,118.11
2026-02-16,B007,126.07
2026-02-17,B001,226.92
2026-02-17,B002,142.69
2026-02-17,B004,255.65
2026-02-17,B005,106.55
2026-02-17,B007,150.76
2026-02-18,B001,251.71
2026-02-18,B002,126.1
2026-02-18,B004,235.83
2026-02-18,B005,115.24
2026-02-18,B007,136.27
2026-02-19,B001,249.92
2026-02-19,B002,134.17
2026-02-19,B004,240.76
2026-02-19,B005,110.57
2026-02-19,B007,137.18
2026-02-20,B001,203.72
2026-02-20,B002,111.32
2026-02-20,B004,189.49
2026-02-20,B005,94.07
2026-02-20,B007,90.16
2026-02-21,B001,234.05
2026-02-21,B002,155.36
2026-02-21,B004,279.07
2026-02-21,B005,108.34
2026-02-21,B007,137.44
2026-02-22,B001,199.81
2026-02-22,B002,126.92
2026-02-22,B004,251.58
2026-02-22,B005,87.5
2026-02-22,B007,123.49
2026-02-23,B001,205.13
2026-02-23,B002,119.45
2026-02-23,B004,258.21
2026-02-23,B005,87.35
2026-02-23,B007,145.08
2026-02-24,B001,188.93
2026-02-24,B002,146.54
2026-02-24,B004,222.94
2026-02-24,B005,98.26
2026-02-24,B007,110.84
2026-02-25,B001,229.85
2026-02-25,B002,144.2
2026-02-25,B004,282.42
2026-02-25,B005,98.93
2026-02-25,B007,118.68
2026-02-26,B001,234.48
2026-02-26,B002,152.73
2026-02-26,B004,272.14
2026-02-26,B005,89.53
2026-02-26,B007,143.67
2026-02-27,B001,204.95
2026-02-27,B002,128.4
2026-02-27,B004,197.38
2026-02-27,B005,78.81
2026-02-27,B007,97.7
2026-02-28,B001,229.76
2026-02-28,B002,130.82
2026-02-28,B004,285.96
2026-02-28,B005,99.85
2026-02-28,B007,121.28
2026-03-01,B001,236.49
2026-03-01,B002,128.32
2026-03-01,B004,247.29
2026-03-01,B005,104.65
2026-03-01,B007,103.41
2026-03-02,B001,206.26
2026-03-02,B002,119.46
2026-03-02,B004,292.37
2026-03-02,B005,90.56
2026-03-02,B007,120.5
2026-03-03,B001,203.63
2026-03-03,B002,118.43
2026-03-03,B004,220.51
2026-03-03,B005,91.62
2026-03-03,B007,137.3
2026-03-04,B001,256.43
2026-03-04,B002,120.2
2026-03-04,B004,269.61
2026-03-04,B005,124.25
2026-03-04,B007,115.93
2026-03-05,B001,208.6
2026-03-05,B002,152.28
2026-03-05,B004,284.89
2026-03-05,B005,96.12
2026-03-05,B007,121.62
2026-03-06,B001,190.26
2026-03-06,B002,128.75
2026-03-06,B004,183.4
2026-03-06,B005,111.62
2026-03-06,B007,92.72
2026-03-07,B001,241.2
2026-03-07,B002,115.49
2026-03-07,B004,223.38
2026-03-07,B005,98.14
2026-03-07,B007,120.3
2026-03-08,B001,249.12
2026-03-08,B002,144.19
2026-03-08,B004,258.09
2026-03-08,B005,92.21
2026-03-08,B007,125.91
2026-03-09,B001,183.74
2026-03-09,B002,126.48
2026-03-09,B004,260.09
2026-03-09,B005,103.35
2026-03-09,B007,146.48
2026-03-10,B001,245.69
2026-03-10,B002,113.45
2026-03-10,B004,225.88
2026-03-10,B005,116.76
2026-03-10,B007,144.07
2026-03-11,B001,225.5
2026-03-11,B002,118.06
2026-03-11,B004,278.02
2026-03-11,B005,103.32
2026-03-11,B007,144.14
2026-03-12,B001,263.14
2026-03-12,B002,166.04
2026-03-12,B004,255.96
2026-03-12,B005,126.93
2026-03-12,B007,127.76
2026-03-13,B001,184.13
2026-03-13,B002,127.76
2026-03-13,B004,178.02
2026-03-13,B005,109.57
2026-03-13,B007,114.11
2026-03-14,B001,269.23
2026-03-14,B002,119.74
2026-03-14,B004,281.41
2026-03-14,B005,94.52
2026-03-14,B007,142.93
2026-03-15,B001,205.36
2026-03-15,B002,123.3
2026-03-15,B004,179.33
2026-03-15,B005,96.93
2026-03-15,B007,106.49
2026-03-16,B001,227.75
2026-03-16,B002,125.7
2026-03-16,B004,285.92
2026-03-16,B005,123.03
2026-03-16,B007,118.04
2026-03-17,B001,220.94
2026-03-17,B002,152.24
2026-03-17,B004,239.95
2026-03-17,B005,128.13
2026-03-17,B007,110.73
2026-03-18,B001,238.81
2026-03-18,B002,135.71
2026-03-18,B004,210.03
2026-03-18,B005,88.52
2026-03-18,B007,127.47
2026-03-19,B001,258.72
2026-03-19,B002,139.14
2026-03-19,B004,220.37
2026-03-19,B005,112.42
2026-03-19,B007,116.38
2026-03-20,B001,183.92
2026-03-20,B002,128.4
2026-03-20,B004,196.0
2026-03-20,B005,96.0
2026-03-20,B007,114.12
2026-03-21,B001,228.17
2026-03-21,B002,141.03
2026-03-21,B004,263.47
2026-03-21,B005,99.5
2026-03-21,B007,126.1
2026-03-22,B001,258.46
2026-03-22,B002,114.11
2026-03-22,B004,224.02
2026-03-22,B005,113.15
2026-03-22,B007,124.45
2026-03-23,B001,241.59
2026-03-23,B002,120.47
2026-03-23,B004,246.4
2026-03-23,B005,98.16
2026-03-23,B007,134.09
2026-03-24,B001,265.94
2026-03-24,B002,110.29
2026-03-24,B004,262.13
2026-03-24,B005,90.07
2026-03-24,B007,156.89
2026-03-25,B001,188.87
2026-03-25,B002,144.83
2026-03-25,B004,213.94
2026-03-25,B005,109.2
2026-03-25,B007,103.25
2026-03-26,B001,248.37
2026-03-26,B002,155.23
2026-03-26,B004,248.69
2026-03-26,B005,105.84
2026-03-26,B007,142.44
2026-03-27,B001,182.0
2026-03-27,B002,97.23
2026-03-27,B004,182.67
2026-03-27,B005,109.9
2026-03-27,B007,130.85
2026-03-28,B001,223.2
2026-03-28,B002,129.84
2026-03-28,B004,283.87
2026-03-28,B005,101.19
2026-03-28,B007,119.58
2026-03-29,B001,202.78
2026-03-29,B002,139.92
2026-03-29,B004,247.45
2026-03-29,B005,129.86
2026-03-29,B007,147.75
2026-03-30,B001,216.84
2026-03-30,B002,133.54
2026-03-30,B004,238.09
2026-03-30,B005,106.13
2026-03-30,B007,107.85
2026-03-31,B001,243.78
2026-03-31,B002,118.01
2026-03-31,B004,238.13
2026-03-31,B005,102.88
2026-03-31,B007,152.98
2026-04-01,B001,220.58
2026-04-01,B002,146.87
2026-04-01,B004,225.77
2026-04-01,B005,120.42
2026-04-01,B007,153.03
2026-04-02,B001,199.44
2026-04-02,B002,143.99
2026-04-02,B004,272.41
2026-04-02,B005,95.96
2026-04-02,B007,132.67
2026-04-03,B001,211.3
2026-04-03,B002,102.02
2026-04-03,B004,196.98
2026-04-03,B005,95.79
2026-04-03,B007,106.72
2026-04-04,B001,239.59
2026-04-04,B002,122.16
2026-04-04,B004,241.54
2026-04-04,B005,100.41
2026-04-04,B007,144.53
2026-04-05,B001,238.51
2026-04-05,B002,120.8
2026-04-05,B004,278.72
2026-04-05,B005,115.9
2026-04-05,B007,123.99
2026-04-06,B001,206.5
2026-04-06,B002,99.56
2026-04-06,B004,281.14
2026-04-06,B005,106.42
2026-04-06,B007,123.2
2026-04-07,B001,252.35
2026-04-07,B002,148.73
2026-04-07,B004,187.59
2026-04-07,B005,119.39
2026-04-07,B007,133.44
2026-04-08,B001,250.07
2026-04-08,B002,154.14
2026-04-08,B004,235.14
2026-04-08,B005,104.57
2026-04-08,B007,119.63
2026-04-09,B001,266.23
2026-04-09,B002,149.78
2026-04-09,B004,249.34
2026-04-09,B005,111.66
2026-04-09,B007,111.48
2026-04-10,B001,186.92
2026-04-10,B002,95.36
2026-04-10,B004,194.93
2026-04-10,B005,87.03
2026-04-10,B007,110.75
2026-04-11,B001,259.61
2026-04-11,B002,143.97
2026-04-11,B004,199.11
2026-04-11,B005,105.51
2026-04-11,B007,120.37
2026-04-12,B001,260.04
2026-04-12,B002,124.78
2026-04-12,B004,227.79
2026-04-12,B005,102.48
2026-04-12,B007,133.05
2026-04-13,B001,231.29
2026-04-13,B002,136.96
2026-04-13,B004,230.77
2026-04-13,B005,91.73
2026-04-13,B007,155.31
2026-04-14,B001,184.34
2026-04-14,B002,115.05
2026-04-14,B004,261.43
2026-04-14,B005,125.9
2026-04-14,B007,148.61
2026-04-15,B001,244.69
2026-04-15,B002,121.62
2026-04-15,B004,191.22
2026-04-15,B005,108.06
2026-04-15,B007,154.92
2026-04-16,B001,213.5
2026-04-16,B002,131.55
2026-04-16,B004,191.42
2026-04-16,B005,117.79
2026-04-16,B007,125.81
2026-04-17,B001,196.54
2026-04-17,B002,119.48
2026-04-17,B004,243.18
2026-04-17,B005,86.52
2026-04-17,B007,113.81
2026-04-18,B001,258.42
2026-04-18,B002,154.06
2026-04-18,B004,263.16
2026-04-18,B005,89.77
2026-04-18,B007,139.49
2026-04-19,B001,252.06
2026-04-19,B002,123.59
2026-04-19,B004,191.87
2026-04-19,B005,100.46
2026-04-19,B007,143.56
2026-04-20,B001,218.99
2026-04-20,B002,121.2
2026-04-20,B004,218.93
2026-04-20,B005,103.11
2026-04-20,B007,125.1
2026-04-21,B001,185.43
2026-04-21,B002,136.84
2026-04-21,B004,221.57
2026-04-21,B005,101.43
2026-04-21,B007,155.52
2026-04-22,B001,222.3
2026-04-22,B002,141.15
2026-04-22,B004,226.08
2026-04-22,B005,113.42
2026-04-22,B007,106.29
2026-04-23,B001,212.05
2026-04-23,B002,116.82
2026-04-23,B004,249.58
2026-04-23,B005,101.71
2026-04-23,B007,156.3
2026-04-24,B001,175.85
2026-04-24,B002,108.76
2026-04-24,B004,173.76
2026-04-24,B005,103.21
2026-04-24,B007,110.4
2026-04-25,B001,300.71
2026-04-25,B002,110.5
2026-04-25,B004,269.46
2026-04-25,B005,106.05
2026-04-25,B007,122.28
2026-04-26,B001,239.08
2026-04-26,B002,133.33
2026-04-26,B004,258.53
2026-04-26,B005,112.98
2026-04-26,B007,132.18
2026-04-27,B001,190.81
2026-04-27,B002,107.34
2026-04-27,B004,207.69
2026-04-27,B005,113.53
2026-04-27,B007,147.0
2026-04-28,B001,270.31
2026-04-28,B002,127.18
2026-04-28,B004,222.3
2026-04-28,B005,120.07
2026-04-28,B007,153.39
2026-04-29,B001,245.2
2026-04-29,B002,133.81
2026-04-29,B004,259.02
2026-04-29,B005,130.85
2026-04-29,B007,121.75
2026-04-30,B001,236.82
2026-04-30,B002,147.31
2026-04-30,B004,242.07
2026-04-30,B005,107.25
2026-04-30,B007,123.47
2026-05-01,B001,208.03
2026-05-01,B002,106.57
2026-05-01,B004,203.79
2026-05-01,B005,100.42
2026-05-01,B007,95.18
2026-05-02,B001,206.57
2026-05-02,B002,134.71
2026-05-02,B004,229.94
2026-05-02,B005,112.69
2026-05-02,B007,119.92
2026-05-03,B001,196.48
2026-05-03,B002,119.33
2026-05-03,B004,242.76
2026-05-03,B005,133.43
2026-05-03,B007,121.54
2026-05-04,B001,250.52
2026-05-04,B002,133.99
2026-05-04,B004,213.9
2026-05-04,B005,94.66
2026-05-04,B007,125.44
2026-05-05,B001,258.11
2026-05-05,B002,155.76
2026-05-05,B004,223.88
2026-05-05,B005,112.9
2026-05-05,B007,138.12
2026-05-06,B001,177.79
2026-05-06,B002,143.6
2026-05-06,B004,227.5
2026-05-06,B005,99.41
2026-05-06,B007,99.87
2026-05-07,B001,265.45
2026-05-07,B002,120.98
2026-05-07,B004,232.12
2026-05-07,B005,96.31
2026-05-07,B007,131.82
2026-05-08,B001,193.72
2026-05-08,B002,126.28
2026-05-08,B004,237.16
2026-05-08,B005,106.7
2026-05-08,B007,115.39
2026-05-09,B001,271.19
2026-05-09,B002,147.98
2026-05-09,B004,245.62
2026-05-09,B005,122.66
2026-05-09,B007,139.96
2026-05-10,B001,229.29
2026-05-10,B002,154.38
2026-05-10,B004,207.12
2026-05-10,B005,126.09
2026-05-10,B007,125.6
2026-05-11,B001,237.3
2026-05-11,B002,130.72
2026-05-11,B004,214.02
2026-05-11,B005,105.99
2026-05-11,B007,114.77
2026-05-12,B001,223.3
2026-05-12,B002,123.65
2026-05-12,B004,274.2
2026-05-12,B005,118.45
2026-05-12,B007,106.79
2026-05-13,B001,242.66
2026-05-13,B002,148.35
2026-05-13,B004,213.67
2026-05-13,B005,113.73
2026-05-13,B007,146.05
2026-05-14,B001,230.57
2026-05-14,B002,149.96
2026-05-14,B004,233.91
2026-05-14,B005,91.6
2026-05-14,B007,127.9
2026-05-15,B001,201.7
2026-05-15,B002,102.8
2026-05-15,B004,259.11
2026-05-15,B005,109.28
2026-05-15,B007,100.95
2026-05-16,B001,278.42
2026-05-16,B002,154.26
2026-05-16,B004,314.03
2026-05-16,B005,136.06
2026-05-16,B007,122.75
2026-05-17,B001,237.58
2026-05-17,B002,161.39
2026-05-17,B004,234.72
2026-05-17,B005,112.19
2026-05-17,B007,153.79
2026-05-18,B001,276.14
2026-05-18,B002,158.88
2026-05-18,B004,235.9
2026-05-18,B005,132.74
2026-05-18,B007,117.81
2026-05-19,B001,259.27
2026-05-19,B002,143.54
2026-05-19,B004,276.28
2026-05-19,B005,134.72
2026-05-19,B007,154.74
2026-05-20,B001,196.93
2026-05-20,B002,135.73
2026-05-20,B004,232.74
2026-05-20,B005,109.48
2026-05-20,B007,138.5
2026-05-21,B001,205.65
2026-05-21,B002,157.38
2026-05-21,B004,286.31
2026-05-21,B005,112.05
2026-05-21,B007,136.24
2026-05-22,B001,233.35
2026-05-22,B002,120.83
2026-05-22,B004,266.33
2026-05-22,B005,102.73
2026-05-22,B007,108.19
2026-05-23,B001,193.94
2026-05-23,B002,143.58
2026-05-23,B004,261.0
2026-05-23,B005,116.69
2026-05-23,B007,163.81
2026-05-24,B001,279.69
2026-05-24,B002,134.01
2026-05-24,B004,263.51
2026-05-24,B005,120.94
2026-05-24,B007,145.46
2026-05-25,B001,244.57
2026-05-25,B002,142.88
2026-05-25,B004,206.92
2026-05-25,B005,119.11
2026-05-25,B007,136.02
2026-05-26,B001,260.84
2026-05-26,B002,131.61
2026-05-26,B004,242.51
2026-05-26,B005,115.99
2026-05-26,B007,132.16
2026-05-27,B001,260.12
2026-05-27,B002,139.91
2026-05-27,B004,282.05
2026-05-27,B005,140.92
2026-05-27,B007,134.41
2026-05-28,B001,231.59
2026-05-28,B002,158.3
2026-05-28,B004,323.38
2026-05-28,B005,97.73
2026-05-28,B007,143.09
2026-05-29,B001,210.35
2026-05-29,B002,142.77
2026-05-29,B004,242.8
2026-05-29,B005,122.54
2026-05-29,B007,107.91
2026-05-30,B001,280.7
2026-05-30,B002,125.3
2026-05-30,B004,244.92
2026-05-30,B005,134.2
2026-05-30,B007,146.8
2026-05-31,B001,219.25
2026-05-31,B002,118.3
2026-05-31,B004,277.72
2026-05-31,B005,133.77
2026-05-31,B007,116.83
2026-06-01,B001,243.21
2026-06-01,B002,130.23
2026-06-01,B004,279.89
2026-06-01,B005,117.45
2026-06-01,B007,118.91
2026-06-02,B001,261.45
2026-06-02,B002,129.8
2026-06-02,B004,248.08
2026-06-02,B005,124.98
2026-06-02,B007,116.84
2026-06-03,B001,237.58
2026-06-03,B002,122.83
2026-06-03,B004,241.27
2026-06-03,B005,119.98
2026-06-03,B007,170.08
2026-06-04,B001,243.47
2026-06-04,B002,141.96
2026-06-04,B004,263.44
2026-06-04,B005,122.06
2026-06-04,B007,130.49
2026-06-05,B001,201.04
2026-06-05,B002,112.0
2026-06-05,B004,223.1
2026-06-05,B005,101.22
2026-06-05,B007,127.05
2026-06-06,B001,215.82
2026-06-06,B002,167.93
2026-06-06,B004,272.49
2026-06-06,B005,114.41
2026-06-06,B007,133.54
2026-06-07,B001,241.75
2026-06-07,B002,160.59
2026-06-07,B004,219.88
2026-06-07,B005,112.37
2026-06-07,B007,158.59
2026-06-08,B001,221.93
2026-06-08,B002,120.08
2026-06-08,B004,258.92
2026-06-08,B005,137.64
2026-06-08,B007,133.22
2026-06-09,B001,237.6
2026-06-09,B002,144.15
2026-06-09,B004,270.03
2026-06-09,B005,100.29
2026-06-09,B007,163.16
2026-06-10,B001,264.13
2026-06-10,B002,159.94
2026-06-10,B004,263.44
2026-06-10,B005,117.09
2026-06-10,B007,113.34
2026-06-11,B001,285.29
2026-06-11,B002,173.61
2026-06-11,B004,248.06
2026-06-11,B005,105.26
2026-06-11,B007,133.94
2026-06-12,B001,242.31
2026-06-12,B002,126.94
2026-06-12,B004,231.02
2026-06-12,B005,107.2
2026-06-12,B007,108.19
2026-06-13,B001,220.0
2026-06-13,B002,145.68
2026-06-13,B004,229.07
2026-06-13,B005,133.0
2026-06-13,B007,161.18
2026-06-14,B001,215.91
2026-06-14,B002,145.44
2026-06-14,B004,240.02
2026-06-14,B005,125.04
2026-06-14,B007,148.64
2026-06-15,B001,285.14
2026-06-15,B002,127.43
2026-06-15,B004,264.88
2026-06-15,B005,124.17
2026-06-15,B007,117.29
2026-06-16,B001,208.6
2026-06-16,B002,136.17
2026-06-16,B004,250.58
2026-06-16,B005,119.42
2026-06-16,B007,142.22
2026-06-17,B001,241.44
2026-06-17,B002,124.39
2026-06-17,B004,286.89
2026-06-17,B005,124.48
2026-06-17,B007,148.91
2026-06-18,B001,225.66
2026-06-18,B002,166.25
2026-06-18,B004,217.19
2026-06-18,B005,109.88
2026-06-18,B007,128.41
2026-06-19,B001,214.76
2026-06-19,B002,127.14
2026-06-19,B004,220.31
2026-06-19,B005,90.0
2026-06-19,B007,144.47
2026-06-20,B001,209.05
2026-06-20,B002,150.44
2026-06-20,B004,233.15
2026-06-20,B005,127.79
2026-06-20,B007,160.8
2026-06-21,B001,241.37
2026-06-21,B002,132.16
2026-06-21,B004,258.8
2026-06-21,B005,129.9
2026-06-21,B007,134.55
2026-06-22,B001,260.73
2026-06-22,B002,135.47
2026-06-22,B004,202.61
2026-06-22,B005,95.83
2026-06-22,B007,138.16
2026-06-23,B001,216.08
2026-06-23,B002,119.76
2026-06-23,B004,251.4
2026-06-23,B005,117.65
2026-06-23,B007,132.02
2026-06-24,B001,225.93
2026-06-24,B002,121.41
2026-06-24,B004,222.62
2026-06-24,B005,93.23
2026-06-24,B007,170.27
2026-06-25,B001,243.53
2026-06-25,B002,131.63
2026-06-25,B004,240.39
2026-06-25,B005,101.93
2026-06-25,B007,150.68
2026-06-26,B001,221.3
2026-06-26,B002,128.74
2026-06-26,B004,169.01
2026-06-26,B005,104.45
2026-06-26,B007,102.13
2026-06-27,B001,263.99
2026-06-27,B002,157.55
2026-06-27,B004,232.62
2026-06-27,B005,112.46
2026-06-27,B007,159.04
2026-06-28,B001,199.41
2026-06-28,B002,144.4
2026-06-28,B004,262.95
2026-06-28,B005,117.06
2026-06-28,B007,139.13
2026-06-29,B001,198.53
2026-06-29,B002,157.07
2026-06-29,B004,257.61
2026-06-29,B005,137.81
2026-06-29,B007,139.98
2026-06-30,B001,266.13
2026-06-30,B002,137.88
2026-06-30,B004,293.97
2026-06-30,B005,108.08
2026-06-30,B007,113.79
2026-07-01,B001,281.42
2026-07-01,B002,119.25
2026-07-01,B004,270.96
2026-07-01,B005,100.2
2026-07-01,B007,136.33
2026-07-02,B001,220.49
2026-07-02,B002,145.14
2026-07-02,B004,235.37
2026-07-02,B005,97.25
2026-07-02,B007,132.01
2026-07-03,B001,184.01
2026-07-03,B002,107.95
2026-07-03,B004,169.87
2026-07-03,B005,87.19
2026-07-03,B007,96.78
2026-07-04,B001,230.27
2026-07-04,B002,130.55
2026-07-04,B004,211.55
2026-07-04,B005,106.49
2026-07-04,B007,144.18
2026-07-05,B001,269.27
2026-07-05,B002,127.14
2026-07-05,B004,231.72
2026-07-05,B005,128.21
2026-07-05,B007,126.82
2026-07-06,B001,219.09
2026-07-06,B002,119.76
2026-07-06,B004,210.52
2026-07-06,B005,112.56
2026-07-06,B007,138.71
2026-07-07,B001,250.49
2026-07-07,B002,165.97
2026-07-07,B004,200.09
2026-07-07,B005,126.18
2026-07-07,B007,125.09
2026-07-08,B001,271.15
2026-07-08,B002,155.16
2026-07-08,B004,254.54
2026-07-08,B005,134.64
2026-07-08,B007,130.65
2026-07-09,B001,228.29
2026-07-09,B002,139.11
2026-07-09,B004,296.51
2026-07-09,B005,116.21
2026-07-09,B007,147.33
2026-07-10,B001,216.27
2026-07-10,B002,119.43
2026-07-10,B004,210.8
2026-07-10,B005,97.43
2026-07-10,B007,119.96
2026-07-11,B001,222.23
2026-07-11,B002,148.04
2026-07-11,B004,264.23
2026-07-11,B005,104.15
2026-07-11,B007,126.93
2026-07-12,B001,260.04
2026-07-12,B002,155.66
2026-07-12,B004,198.44
2026-07-12,B005,97.08
2026-07-12,B007,109.67
2026-07-13,B001,219.58
2026-07-13,B002,151.91
2026-07-13,B004,275.32
2026-07-13,B005,113.71
2026-07-13,B007,128.71
2026-07-14,B001,211.03
2026-07-14,B002,144.99
2026-07-14,B004,300.36
2026-07-14,B005,91.11
2026-07-14,B007,117.82
2026-07-15,B001,261.47
2026-07-15,B002,147.65
2026-07-15,B004,270.87
2026-07-15,B005,110.54
2026-07-15,B007,127.18
2026-07-16,B001,274.7
2026-07-16,B002,139.59
2026-07-16,B004,259.47
2026-07-16,B005,128.38
2026-07-16,B007,122.87
2026-07-17,B001,188.59
2026-07-17,B002,107.54
2026-07-17,B004,229.48
2026-07-17,B005,101.54
2026-07-17,B007,105.1
2026-07-18,B001,219.8
2026-07-18,B002,120.55
2026-07-18,B004,262.15
2026-07-18,B005,119.61
2026-07-18,B007,134.75
2026-07-19,B001,237.79
2026-07-19,B002,128.54
