Date,Branch,Core Retail Sales,Service Channel Sales,Priority Sales,Customer Count
2025-01-15,B008,2487.46,403.06,1170.27,43
2025-01-16,B001,5342.09,2137.87,2058.18,97
2025-01-16,B002,4266.37,1012.53,1899.76,80
2025-01-16,B003,3976.4,796.69,1486.6,66
2025-01-16,B004,4557.29,2164.2,1947.49,101
2025-01-16,B005,3821.89,896.68,1602.67,60
2025-01-16,B006,3021.96,582.95,1321.83,44
2025-01-16,B008,2931.84,487.31,1329.6,46
2025-01-17,B001,4932.97,1938.85,2351.24,88
2025-01-17,B002,3597.11,856.38,1410.57,58
2025-01-17,B003,3403.27,650.87,1502.47,58
2025-01-17,B004,3958.53,1614.63,1564.9,78
2025-01-17,B005,3522.1,719.27,1373.85,55
2025-01-17,B006,2646.97,429.26,1093.17,41
2025-01-17,B008,2288.13,352.32,948.7,33
2025-01-18,B001,5514.4,2238.81,2599.35,99
2025-01-18,B002,4216.48,951.97,1710.75,66
2025-01-18,B003,4039.01,836.71,1674.06,63
2025-01-18,B004,5051.46,2216.37,1963.35,105
2025-01-18,B005,4095.76,817.79,1653.45,64
2025-01-18,B006,2941.28,486.63,1237.58,50
2025-01-18,B008,2833.59,421.18,1165.23,43
2025-01-19,B001,4741.68,1903.01,1790.65,91
2025-01-19,B002,3728.34,909.66,1444.79,65
2025-01-19,B003,3888.25,723.63,1779.89,58
2025-01-19,B004,4743.58,1844.1,1719.64,88
2025-01-19,B005,4343.82,925.75,1930.91,67
2025-01-19,B006,2924.7,541.0,1413.94,50
2025-01-19,B008,2399.0,365.51,903.01,36
2025-01-20,B001,5450.65,1989.14,2457.87,95
2025-01-20,B002,3793.51,968.81,1734.51,70
2025-01-20,B003,3864.96,802.28,1445.7,70
2025-01-20,B004,4616.92,2059.87,2237.18,92
2025-01-20,B005,4162.21,839.18,1872.08,66
2025-01-20,B006,2613.68,485.08,1229.84,41
2025-01-20,B008,2402.09,426.69,1109.15,40
2025-01-21,B001,5260.2,1987.27,2239.66,101
2025-01-21,B002,4314.13,1148.97,1612.28,67
2025-01-21,B003,3750.72,759.61,1695.14,62
2025-01-21,B004,4925.9,2343.11,1946.27,92
2025-01-21,B005,3968.13,868.25,1653.22,62
2025-01-21,B006,2704.71,509.22,1265.79,48
2025-01-21,B008,2854.77,442.73,1200.18,44
2025-01-22,B001,5322.39,1859.21,2504.84,104
2025-01-22,B002,3807.42,1009.24,1539.12,60
2025-01-22,B003,3866.87,705.37,1397.18,56
2025-01-22,B004,4395.01,1979.77,1861.35,82
2025-01-22,B005,4068.72,918.69,1724.35,63
2025-01-22,B006,2654.57,444.1,1194.38,44
2025-01-22,B008,2682.12,434.45,1150.68,43
2025-01-23,B001,5848.37,2189.74,2639.79,114
2025-01-23,B002,4106.02,949.79,1580.96,74
2025-01-23,B003,3840.04,768.26,1474.84,66
2025-01-23,B004,4971.19,2241.59,2420.77,97
2025-01-23,B005,3977.97,806.09,1532.45,69
2025-01-23,B006,2831.67,454.62,1216.02,47
2025-01-23,B008,3001.53,493.48,1352.68,51
2025-01-24,B001,5018.94,1947.85,2376.23,93
2025-01-24,B002,3591.26,887.15,1378.93,67
2025-01-24,B003,3544.68,672.31,1654.92,58
2025-01-24,B004,3889.46,1716.67,1427.31,82
2025-01-24,B005,3541.1,747.77,1732.34,63
2025-01-24,B006,2653.57,477.68,1228.06,45
2025-01-24,B008,2338.6,377.2,976.49,34
2025-01-25,B001,6141.41,2286.27,2706.72,111
2025-01-25,B002,4388.88,1197.23,1698.55,81
2025-01-25,B003,4015.59,715.43,1536.35,70
2025-01-25,B004,4585.11,1942.89,2004.59,92
2025-01-25,B005,3859.59,881.69,1742.17,65
2025-01-25,B006,3065.15,584.59,1417.38,48
2025-01-25,B008,2806.96,494.24,1165.64,44
2025-01-26,B001,5336.5,2268.57,2494.61,113
2025-01-26,B002,3859.14,927.94,1765.03,64
2025-01-26,B003,3589.75,635.39,1613.69,55
2025-01-26,B004,5315.8,2278.45,2254.93,113
2025-01-26,B005,3598.76,779.52,1446.35,63
2025-01-26,B006,2608.15,500.81,1222.37,41
2025-01-26,B008,2848.09,507.3,1274.23,48
2025-01-27,B001,4756.83,1956.93,2003.41,88
2025-01-27,B002,4506.07,1055.66,1965.07,73
2025-01-27,B003,3749.13,659.2,1519.28,62
2025-01-27,B004,4930.35,2290.13,1986.31,94
2025-01-27,B005,3730.76,891.22,1737.65,62
2025-01-27,B006,2869.36,488.77,1153.56,41
2025-01-27,B008,2597.62,424.02,1268.82,39
2025-01-28,B001,5402.58,2060.72,2076.67,104
2025-01-28,B002,4300.43,1102.21,1973.03,78
2025-01-28,B003,3700.14,762.96,1542.79,58
2025-01-28,B004,4375.25,2084.7,1921.41,93
2025-01-28,B005,3683.96,816.71,1590.71,67
2025-01-28,B006,3129.93,595.78,1314.53,55
2025-01-28,B008,2828.03,460.24,1281.55,44
2025-01-29,B001,4985.21,2085.97,2429.95,101
2025-01-29,B002,4176.44,1019.91,2004.04,70
2025-01-29,B003,3953.3,805.81,1565.16,61
2025-01-29,B004,4670.1,2206.23,1989.49,87
2025-01-29,B005,3819.34,805.67,1666.38,56
2025-01-29,B006,2908.16,479.59,1250.56,47
2025-01-29,B008,2678.63,439.58,1122.87,44
2025-01-30,B001,5141.46,2088.3,2233.11,104
2025-01-30,B002,4601.79,1047.33,2102.15,73
2025-01-30,B003,4122.93,768.34,1839.98,62
2025-01-30,B004,5589.0,2392.73,2038.94,108
2025-01-30,B005,4146.79,976.8,1964.1,70
2025-01-30,B006,3022.89,529.13,1372.14,49
2025-01-30,B008,2873.86,438.02,1209.99,41
2025-01-31,B001,4494.81,1823.75,1997.85,79
2025-01-31,B002,3827.24,1026.58,1566.88,68
2025-01-31,B003,3391.83,678.24,1605.72,61
2025-01-31,B004,3908.58,1725.78,1875.03,69
2025-01-31,B005,3676.03,796.56,1370.41,59
2025-01-31,B006,2737.63,478.0,1232.54,40
2025-01-31,B008,2110.84,362.7,840.4,34
2025-02-01,B001,5156.48,2019.21,2235.7,91
2025-02-01,B002,4074.94,934.37,1928.3,66
2025-02-01,B003,3627.4,745.96,1373.35,60
2025-02-01,B004,4936.08,1999.11,1783.02,88
2025-02-01,B005,4437.9,1008.15,1688.78,75
2025-02-01,B006,2908.67,521.78,1288.72,47
2025-02-01,B008,2605.5,451.65,1005.46,42
2025-02-02,B001,5420.58,1986.88,2354.43,99
2025-02-02,B002,4573.15,1096.85,2227.73,74
2025-02-02,B003,3553.27,685.33,1595.96,54
2025-02-02,B004,4437.87,1948.54,1884.21,79
2025-02-02,B005,3768.31,875.94,1653.98,65
2025-02-02,B006,2964.51,535.09,1328.42,45
2025-02-02,B008,2723.85,471.58,1203.05,40
2025-02-03,B001,5578.12,2078.25,2327.79,102
2025-02-03,B002,4395.53,1010.26,1751.02,69
2025-02-03,B003,3528.76,625.57,1517.8,51
2025-02-03,B004,4807.82,2260.92,2249.88,101
2025-02-03,B005,4243.01,928.1,1972.34,66
2025-02-03,B006,2834.97,464.44,1375.46,48
2025-02-03,B008,2886.87,501.74,1311.07,41
2025-02-04,B001,5750.12,2390.44,2343.47,104
2025-02-04,B002,3728.46,938.94,1562.68,61
2025-02-04,B003,3853.59,745.87,1799.3,57
2025-02-04,B004,4619.12,1861.34,1677.91,81
2025-02-04,B005,3975.15,944.34,1545.45,73
2025-02-04,B006,3052.54,580.68,1218.83,50
2025-02-04,B008,2446.76,431.77,977.64,39
2025-02-05,B001,4813.61,2037.04,1817.8,94
2025-02-05,B002,4238.9,1111.76,2047.29,74
2025-02-05,B003,3960.25,705.21,1639.28,69
2025-02-05,B004,4946.35,2075.62,2392.54,106
2025-02-05,B005,3892.76,845.09,1882.43,59
2025-02-05,B006,2656.16,485.2,1144.22,38
2025-02-05,B008,2601.33,415.47,1000.67,44
2025-02-06,B001,5989.24,2305.78,2672.16,109
2025-02-06,B002,4476.24,1013.95,2069.29,79
2025-02-06,B003,3592.37,692.69,1325.29,55
2025-02-06,B004,4920.78,1974.6,2327.83,97
2025-02-06,B005,3804.29,901.28,1370.95,59
2025-02-06,B006,2835.92,465.96,1113.34,48
2025-02-06,B008,2903.89,431.53,1051.01,42
2025-02-07,B001,4529.76,1693.34,1733.32,93
2025-02-07,B002,3820.9,960.21,1745.91,65
2025-02-07,B003,3476.39,663.84,1300.79,56
2025-02-07,B004,4876.56,1878.44,2252.09,85
2025-02-07,B005,3535.62,769.77,1715.92,64
2025-02-07,B006,2554.84,442.53,1147.62,41
2025-02-07,B008,2574.4,386.2,953.82,39
2025-02-08,B001,5178.28,1914.48,2290.35,95
2025-02-08,B002,4082.0,1123.49,1751.06,71
2025-02-08,B003,4027.45,709.27,1817.31,59
2025-02-08,B004,5192.59,2364.78,2355.93,109
2025-02-08,B005,4156.73,864.57,1679.57,69
2025-02-08,B006,3009.25,491.03,1250.28,46
2025-02-08,B008,2737.92,417.16,1314.17,47
2025-02-09,B001,5883.99,2086.48,2192.1,102
2025-02-09,B002,4401.48,1112.8,1920.1,74
2025-02-09,B003,3663.65,648.2,1487.33,56
2025-02-09,B004,5057.87,2354.76,2294.95,91
2025-02-09,B005,4102.55,874.63,1785.14,72
2025-02-09,B006,3026.61,506.6,1132.16,44
2025-02-09,B008,2589.59,442.3,1125.52,38
2025-02-10,B001,5587.53,2409.05,2606.0,105
2025-02-10,B002,4355.27,987.57,2093.93,67
2025-02-10,B003,3612.89,646.68,1630.68,60
2025-02-10,B004,4948.94,1889.38,2341.26,91
2025-02-10,B005,3973.9,812.12,1757.71,72
2025-02-10,B006,3082.2,514.98,1277.81,50
2025-02-10,B008,2595.68,440.07,1196.58,40
2025-02-11,B001,5079.98,1784.46,1932.75,90
2025-02-11,B002,4342.72,1036.64,1937.08,73
2025-02-11,B003,3737.52,681.36,1712.32,65
2025-02-11,B004,4952.12,2018.73,2219.56,94
2025-02-11,B005,4207.05,842.87,1730.71,67
2025-02-11,B006,2643.94,449.23,1024.42,45
2025-02-11,B008,2562.68,403.9,925.14,38
2025-02-12,B001,5081.53,1923.93,2294.19,95
2025-02-12,B002,4384.97,1164.21,1619.68,70
2025-02-12,B003,3464.22,600.24,1661.96,51
2025-02-12,B004,5002.36,2180.02,2262.24,99
2025-02-12,B005,3763.62,750.2,1513.8,57
2025-02-12,B006,2959.45,555.21,1419.26,52
2025-02-12,B008,2888.53,447.92,1261.0,45
2025-02-13,B001,5561.47,2072.67,2247.6,107
2025-02-13,B002,4042.3,1012.69,1515.15,68
2025-02-13,B003,4248.29,786.09,1931.1,64
2025-02-13,B004,5578.33,2249.16,2114.4,113
2025-02-13,B005,4219.94,973.79,1878.78,75
2025-02-13,B006,3203.74,564.74,1467.56,48
2025-02-13,B008,2734.71,480.71,1185.18,42
2025-02-14,B001,4761.34,2004.98,2102.31,99
2025-02-14,B002,3358.79,830.01,1341.39,60
2025-02-14,B003,3017.29,575.53,1207.98,49
2025-02-14,B004,3887.32,1795.24,1438.21,71
2025-02-14,B005,3769.68,846.13,1605.58,63
2025-02-14,B006,2578.51,480.23,1228.57,42
2025-02-14,B008,2502.33,418.91,1005.43,40
2025-02-15,B001,5371.58,1890.96,2006.04,90
2025-02-15,B002,4165.79,1086.47,1772.92,76
2025-02-15,B003,3726.32,701.38,1554.34,60
2025-02-15,B004,4851.42,2019.27,1924.93,95
2025-02-15,B005,4030.3,901.66,1864.41,65
2025-02-15,B006,2809.49,458.38,1259.18,46
2025-02-15,B008,2911.04,487.75,1390.97,42
2025-02-16,B001,5201.89,2060.35,1968.32,101
2025-02-16,B002,4527.84,1177.25,1860.74,76
2025-02-16,B003,4122.77,756.97,1686.08,62
2025-02-16,B004,5216.2,2323.47,2439.96,97
2025-02-16,B005,4166.59,919.33,1849.9,70
2025-02-16,B006,2856.95,491.18,1095.45,48
2025-02-16,B008,2934.1,476.42,1142.69,50
2025-02-17,B001,4848.81,2033.14,1809.33,88
2025-02-17,B002,4388.03,1182.5,1601.22,78
2025-02-17,B003,4016.91,711.95,1642.81,69
2025-02-17,B004,5200.88,2369.68,2419.32,110
2025-02-17,B005,3986.34,859.88,1785.59,69
2025-02-17,B006,2913.67,493.49,1332.45,47
2025-02-17,B008,2725.63,428.06,1267.75,43
2025-02-18,B001,5826.88,2200.0,2815.12,98
2025-02-18,B002,4183.45,1000.61,1713.72,70
2025-02-18,B003,4085.97,825.71,1896.56,72
2025-02-18,B004,4678.93,2070.6,2216.11,90
2025-02-18,B005,3661.65,858.69,1723.36,64
2025-02-18,B006,3104.73,524.61,1483.1,53
2025-02-18,B008,2630.97,464.29,1023.09,42
2025-02-19,B001,5411.64,1889.5,1985.66,99
2025-02-19,B002,3882.65,1068.6,1586.99,75
2025-02-19,B003,4059.33,823.68,1804.35,62
2025-02-19,B004,4683.33,1910.77,2191.18,85
2025-02-19,B005,3711.28,847.58,1552.5,69
2025-02-19,B006,2704.34,455.46,1267.1,42
2025-02-19,B008,2817.93,461.11,1055.19,46
2025-02-20,B001,5568.34,1953.79,2308.51,96
2025-02-20,B002,4381.88,1011.52,2093.09,71
2025-02-20,B003,3548.16,677.82,1388.94,62
2025-02-20,B004,5065.45,2228.33,1981.97,100
2025-02-20,B005,4394.08,887.68,2138.62,79
2025-02-20,B006,3067.14,542.01,1498.25,48
2025-02-20,B008,2747.7,444.82,1216.24,39
2025-02-21,B001,4676.87,1628.97,2163.09,88
2025-02-21,B002,3836.68,983.9,1766.01,62
2025-02-21,B003,3260.58,567.9,1405.25,48
2025-02-21,B004,4021.49,1835.61,1690.64,76
2025-02-21,B005,3603.98,839.73,1327.0,57
2025-02-21,B006,2577.04,437.19,942.41,44
2025-02-21,B008,2134.58,375.83,911.46,31
2025-02-22,B001,5783.24,2127.61,2648.31,115
2025-02-22,B002,4185.23,1105.74,1977.74,74
2025-02-22,B003,3653.87,678.55,1737.9,56
2025-02-22,B004,5638.08,2354.2,2743.4,108
2025-02-22,B005,4133.76,983.67,1767.21,65
2025-02-22,B006,3232.4,525.74,1416.82,47
2025-02-22,B008,2849.3,448.48,1055.41,43
2025-02-23,B001,5189.63,2064.51,2155.75,94
2025-02-23,B002,4142.32,942.5,1959.75,71
2025-02-23,B003,4191.44,764.32,2042.92,61
2025-02-23,B004,4521.81,1999.41,1841.42,83
2025-02-23,B005,4117.7,985.03,1558.8,67
2025-02-23,B006,3146.06,507.2,1160.08,47
2025-02-23,B008,2639.79,420.4,1144.99,40
2025-02-24,B001,5473.85,2347.14,2235.31,100
2025-02-24,B002,4251.77,1069.21,1750.64,70
2025-02-24,B003,3640.58,642.98,1658.78,58
2025-02-24,B004,4858.32,2111.61,1914.33,99
2025-02-24,B005,3928.53,947.36,1560.12,60
2025-02-24,B006,2967.69,486.9,1397.39,47
2025-02-24,B008,2925.54,471.39,1086.58,44
2025-02-25,B001,5880.69,2196.26,2382.65,120
2025-02-25,B002,4166.3,1124.39,1960.98,68
2025-02-25,B003,4096.68,800.87,1897.5,66
2025-02-25,B004,4711.04,1883.8,1781.03,84
2025-02-25,B005,3653.87,810.54,1490.63,57
2025-02-25,B006,2964.26,534.16,1100.36,49
2025-02-25,B008,2960.69,501.71,1268.18,44
2025-02-26,B001,5948.17,2099.73,2893.24,106
2025-02-26,B002,4127.51,1069.32,1670.76,65
2025-02-26,B003,3987.63,779.86,1529.87,59
2025-02-26,B004,4791.19,2251.72,1759.34,104
2025-02-26,B005,3809.75,782.2,1531.32,59
2025-02-26,B006,2818.67,539.21,1342.64,42
2025-02-26,B008,2564.51,428.0,1106.87,44
2025-02-27,B001,5428.62,2126.87,2308.98,110
2025-02-27,B002,4821.55,1123.16,2148.65,77
2025-02-27,B003,3986.86,809.47,1727.39,61
2025-02-27,B004,4856.37,1871.6,2153.26,89
2025-02-27,B005,4296.91,992.82,1779.59,69
2025-02-27,B006,3052.13,551.55,1213.7,44
2025-02-27,B008,2786.63,479.56,1251.33,46
2025-02-28,B001,4505.13,1585.22,1879.31,83
2025-02-28,B002,3465.64,884.97,1388.46,56
2025-02-28,B003,3458.66,704.57,1683.67,61
2025-02-28,B004,4270.27,1856.01,1714.45,83
2025-02-28,B005,3428.77,715.96,1277.51,59
2025-02-28,B006,2525.9,455.46,990.85,37
2025-02-28,B008,2233.76,352.01,971.91,36
2025-03-01,B001,5968.13,2320.05,2547.88,112
2025-03-01,B002,4287.08,971.47,2070.15,71
2025-03-01,B003,4356.21,785.12,1768.08,77
2025-03-01,B004,5063.82,2364.97,2253.67,101
2025-03-01,B005,4193.84,983.73,1744.73,65
2025-03-01,B006,3183.19,589.85,1297.38,52
2025-03-01,B008,2883.87,443.01,1245.6,50
2025-03-02,B001,5368.65,2212.53,2127.94,93
2025-03-02,B002,4426.5,1023.53,2154.65,75
2025-03-02,B003,4043.85,746.76,1949.39,61
2025-03-02,B004,4703.39,2019.95,1998.99,101
2025-03-02,B005,3782.31,803.37,1594.57,63
2025-03-02,B006,3012.39,533.15,1212.89,47
2025-03-02,B008,2498.73,444.38,1139.7,42
2025-03-03,B001,5170.06,2160.32,2219.01,95
2025-03-03,B002,3990.58,1061.45,1627.71,66
2025-03-03,B003,4156.09,804.29,1926.67,64
2025-03-03,B004,5367.32,2059.22,2263.38,91
2025-03-03,B005,4244.49,982.42,1846.75,67
2025-03-03,B006,3029.66,501.79,1338.42,47
2025-03-03,B008,2927.5,445.62,1312.97,51
2025-03-04,B001,6092.71,2168.85,2208.38,116
2025-03-04,B002,3888.67,1009.49,1607.38,62
2025-03-04,B003,4076.64,832.28,1857.56,73
2025-03-04,B004,4742.98,1899.41,1907.89,87
2025-03-04,B005,4105.79,868.73,1570.52,62
2025-03-04,B006,2872.41,493.05,1322.34,43
2025-03-04,B008,2780.65,469.03,1221.57,47
2025-03-05,B001,5165.83,2034.96,2010.71,88
2025-03-05,B002,4077.63,976.75,1577.82,65
2025-03-05,B003,3682.96,681.41,1772.91,55
2025-03-05,B004,4911.67,1927.67,2200.24,95
2025-03-05,B005,4400.42,1026.63,2130.24,69
2025-03-05,B006,2848.25,482.66,1289.8,47
2025-03-05,B008,2703.8,420.33,1141.76,45
2025-03-06,B001,5571.93,2381.15,2510.17,117
2025-03-06,B002,4470.41,1137.08,1750.25,73
2025-03-06,B003,3967.08,775.57,1455.22,65
2025-03-06,B004,5593.56,2184.2,2574.15,118
2025-03-06,B005,4202.75,1000.98,1735.31,64
2025-03-06,B006,3309.46,581.54,1277.22,48
2025-03-06,B008,2716.52,454.27,1298.58,47
2025-03-07,B001,4870.83,1909.04,2211.38,84
2025-03-07,B002,4070.53,952.35,1932.25,73
2025-03-07,B003,3577.78,747.01,1472.65,59
2025-03-07,B004,4650.25,2210.37,2233.91,86
2025-03-07,B005,3217.41,715.65,1203.15,48
2025-03-07,B006,2456.19,473.91,1057.71,40
2025-03-07,B008,2580.13,447.71,1085.83,44
2025-03-08,B001,5356.66,1930.12,2247.97,104
2025-03-08,B002,4073.84,1067.12,1885.37,68
2025-03-08,B003,4207.62,752.4,1983.05,62
2025-03-08,B004,5557.59,2390.15,2063.4,104
2025-03-08,B005,4011.45,819.58,1612.88,69
2025-03-08,B006,2951.86,495.18,1351.92,42
2025-03-08,B008,2702.47,458.29,976.91,41
2025-03-09,B001,5836.16,2054.63,2190.71,111
2025-03-09,B002,4140.77,1035.71,1972.52,67
2025-03-09,B003,3710.26,655.81,1777.57,62
2025-03-09,B004,5237.14,2103.12,1976.31,107
2025-03-09,B005,4252.62,952.83,1760.84,70
2025-03-09,B006,2939.61,522.42,1312.04,50
2025-03-09,B008,2567.91,437.98,1215.92,45
2025-03-10,B001,5345.57,2174.17,1978.68,100
2025-03-10,B002,3845.16,970.47,1636.94,64
2025-03-10,B003,3564.57,656.85,1524.37,62
2025-03-10,B004,4701.88,2053.61,1748.26,91
2025-03-10,B005,4326.73,941.15,1846.31,72
2025-03-10,B006,2702.05,473.46,1256.18,41
2025-03-10,B008,2644.92,456.13,1208.61,41
2025-03-11,B001,5024.74,1887.2,1850.56,84
2025-03-11,B002,4670.42,1068.67,2248.3,86
2025-03-11,B003,3714.16,744.0,1706.87,55
2025-03-11,B004,5201.62,2188.9,2543.96,102
2025-03-11,B005,4308.36,1021.89,1761.41,69
2025-03-11,B006,3054.62,543.04,1359.18,50
2025-03-11,B008,2546.88,417.49,1091.97,38
2025-03-12,B001,5332.41,1851.76,1935.43,102
2025-03-12,B002,4364.42,1100.82,1873.0,69
2025-03-12,B003,3639.99,673.11,1440.83,53
2025-03-12,B004,5394.23,2112.52,2509.57,103
2025-03-12,B005,4230.18,999.06,1531.47,75
2025-03-12,B006,2762.56,445.27,1209.21,42
2025-03-12,B008,2463.94,419.17,1015.87,41
2025-03-13,B001,5253.44,2211.96,1929.79,101
2025-03-13,B002,4157.55,1105.87,1892.09,74
2025-03-13,B003,4026.06,792.2,1617.22,68
2025-03-13,B004,4804.65,2135.38,1867.74,98
2025-03-13,B005,3802.78,908.98,1803.9,58
2025-03-13,B006,3166.89,551.22,1344.12,46
2025-03-13,B008,3072.08,516.12,1419.78,50
2025-03-14,B001,4845.03,1740.44,1981.33,84
2025-03-14,B002,3649.44,977.01,1456.48,60
2025-03-14,B003,3520.35,724.19,1524.7,52
2025-03-14,B004,4590.93,1807.01,1797.68,92
2025-03-14,B005,3635.52,864.78,1709.16,67
2025-03-14,B006,2750.28,457.31,1086.09,42
2025-03-14,B008,2425.52,422.57,932.52,36
2025-03-15,B001,5934.61,2338.2,2506.31,104
2025-03-15,B002,4174.0,1140.66,1510.96,66
2025-03-15,B003,4389.69,775.89,2150.7,70
2025-03-15,B004,4929.41,2163.38,1905.64,88
2025-03-15,B005,4240.83,981.45,1736.56,70
2025-03-15,B006,3017.93,508.83,1287.65,48
2025-03-15,B008,2576.67,457.5,1084.87,38
2025-03-16,B001,5985.07,2261.18,2476.69,110
2025-03-16,B002,4051.41,942.13,1595.85,62
2025-03-16,B003,3890.51,729.45,1477.67,65
2025-03-16,B004,4801.19,2218.11,2040.07,92
2025-03-16,B005,4262.97,891.84,1989.99,63
2025-03-16,B006,3051.64,537.57,1165.33,46
2025-03-16,B008,2533.66,429.46,1072.96,37
2025-03-17,B001,5481.8,2199.59,2015.3,115
2025-03-17,B002,4444.62,1211.88,1986.16,72
2025-03-17,B003,3715.15,754.31,1449.23,58
